,City,ID,State,height,weight
465,Seattle,931, WA,5.1,195.0
466,Bensalem,933, PA,6.02,215.0
467,Carson,935, CA,6.02,290.0
469,Atlanta,939, GE,5.11,180.0
470,Wheaton,941, IL,6.04,213.0
472,Bronx,945, NY,6.05,260.0
473,Bethel,947, NC,6.01,234.0
474,Cleveland,949, OH,5.11,205.0
480,Beaumont,961, TX,6.04,211.0
481,Hamilton,963, ON,6.02,215.0
483,Ottawa,967, ON,6.04,305.0
484,Monterey Park,969, CA,5.08,196.0
485,Ottawa,971, ON,6.05,285.0
486,Edmonton,973, AB,6.02,185.0
489,Coquitlam,979, BC,6.03,215.0
491,Ottawa,983, ON,6.03,270.0
494,Winston Salem,989, NC,6.01,202.0
495,Etobicoke,991, ON,6.02,302.0
502,Thunder Bay,1005, ON,6.03,210.0
506,Windsor,1013, ON,6.02,203.0
510,Indianola,1021, MS,6.04,221.0
514,Waterloo,1029, ON,6.0,180.0
517,Mobile,1035, AL,5.1,191.0
519,Tennville,1039, GE,5.11,215.0
524,Seattle,1049, WA,5.11,195.0
526,Calgary,1053, AB,6.03,240.0
527,Burnaby,1055, BC,5.11,197.0
528,Norco,1057, LA,6.01,222.0
529,Dallas,1059, TX,5.11,173.0
530,Boltoro,1061, TD,6.01,205.0
531,Dallas,1063, TX,5.11,196.0
532,Louisville,1065, MS,5.1,180.0
533,San Diego,1067, CA,5.1,184.0
534,Lumberton,1069, NC,6.02,230.0
535,Saskatoon,1071, SK,5.1,190.0
536,Washington,1073, DC,5.1,180.0
538,Los Angeles,1077, CA,6.04,240.0
539,Shreveport,1079, LA,6.02,265.0
540,Westerville,1081, OH,6.01,234.0
541,Euless,1083, TX,5.09,198.0
546,Seattle,1093, WA,6.03,257.0
547,Jonesboro,1095, GA,6.04,205.0
548,Chicago,1097, IL,6.03,215.0
549,Omaha,1099, NE,6.01,200.0
550,Regina,1101, SK,5.1,210.0
551,Scarborough,1103, ON,6.0,189.0
552,Mbabane,1105, Swaziland,6.04,225.0
553,Omaha,1107, NE,6.0,220.0
554,Columbia,1109, SC,6.03,238.0
556,Kamloops,1113, BC,6.01,209.0
557,Chilliwack,1115, BC,6.02,210.0
558,Belleville,1117, ON,6.03,226.0
559,Raymond,1119, AB,6.04,218.0
560,Moose Jaw,1121, SK,5.1,200.0
561,Montreal,1123, QC,6.0,196.0
562,Norland,1125, ON,5.1,216.0
563,St. Thomas,1127, ON,5.07,168.0
564,La Tuque,1129, QC,5.1,199.0
565,Edmonton,1131, AB,5.1,210.0
566,Sainte-Foy,1133, QC,6.02,302.0
567,Saskatoon,1135, SK,6.05,310.0
568,Smith Falls,1137, ON,6.03,296.0
569,Newmarket,1139, ON,6.07,287.0
570,Atlanta,1141, GA,5.08,180.0
571,Winnipeg,1143, MB,6.05,305.0
572,Regina,1145, SK,6.02,289.0
573,Burlington,1147, ON,6.05,295.0
574,Sarnia,1149, ON,6.02,283.0
575,Great Falls,1151, MT,6.04,240.0
576,St-Augustin,1153, QC,6.0,216.0
577,Port Moody,1155, BC,5.11,233.0
578,Toronto,1157, ON,6.0,215.0
579,Drummondville,1159, QC,6.0,212.0
580,Windsor,1161, ON,6.01,238.0
581,Winnipeg,1163, MB,5.1,226.0
582,Kitchener,1165, ON,6.02,237.0
583,Medicine Hat,1167, AB,6.07,306.0
584,Calgary,1169, AB,6.01,236.0
585,Calahoo,1171, AB,6.02,287.0
586,Brampton,1173, ON,6.07,276.0
587,Lake Village,1175, AR,5.11,185.0
588,San Francisco,1177, CA,6.05,300.0
590,Ottawa,1181, ON,6.01,253.0
591,Montréal,1183, QC,5.09,190.0
592,Edmonton,1185, AB,6.01,205.0
593,London,1187, ON,6.01,200.0
594,Buffalo,1189, NY,5.11,178.0
595,Toronto,1191, ON,6.0,197.0
596,Vancouver,1193, WA,6.03,250.0
597,Vancouver,1195, BC,5.09,200.0
598,Monroe,1197, LA,5.11,180.0
599,Mission Viejo,1199, CA,5.09,175.0
600,Ottawa,1201, ON,6.05,280.0
601,Oakland,1203, CA,6.01,210.0
